"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Type";"Produktnavn/typegodkjenning";"Lengde";"Stolpeavstand";"Etableringsår";"Tilleggsinformasjon";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"761195834";"14";"1";"2017-01-19";"2019-03-22T14:00:49";"Nedføring i bakken uten utsvinging";;;;;;;"POINT (275573.91 7038878.29)";"Trondheim";"Trøndelag";"MIDT";"Trøndelag";"";"1609 TrondheimBydrift 2011-2015,1609 Trondheim ytre 2015-2020,1633 Fylkesveger i Trondheim Ytre 2016-2020,5006 Trondheim 2020-2028";"5000 Fv6660 hp2 m2100";"50";"0";"F";"V";"6660";"2";"2";"2100";;"41865 0.27639987 0.27639987 WITH N/A LEFT";"POINT Z (275571.2779 7038873.74038 153.52949)";"6173"
"761195860";"14";"1";"2017-01-19";"2019-03-22T14:00:49";"Nedføring i bakken uten utsvinging";;"58";;;;;"POINT (275679.46 7038747.8)";"Trondheim";"Trøndelag";"MIDT";"Trøndelag";"";"1609 TrondheimBydrift 2011-2015,1609 Trondheim ytre 2015-2020,1633 Fylkesveger i Trondheim Ytre 2016-2020,5006 Trondheim 2020-2028";"5000 Fv6660 hp2 m2270";"50";"0";"F";"V";"6660";"2";"2";"2270";;"41865 0.33539524 0.33539524 WITH N/A LEFT";"POINT Z (275673.78298 7038747.27045 163.82929)";"6173"
