"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Bomstasjonstype";"Navn bompengeanlegg (fra CS)";"Navn bomstasjon";"Vedtatt til år";"Link til bomstasjon";"Innkrevningsretning";"Bomstasjon_Id";"Bompengeanlegg_Id";"Takst liten bil";"Takst stor bil";"Tidsdifferensiert takst";"Rushtidstakst liten bil";"Rushtidstakst stor bil";"Rushtid morgen, fra";"Rushtid morgen, til";"Rushtid ettermiddag, fra";"Rushtid ettermiddag, til";"Timesregel";"Timesregel, varighet";"Timesregel, passeringsgruppe";"Gratis gjennomkjøring ved HC-brikke";"Etableringsår";"Tilleggsinformasjon";"Prosjektreferanse";"Eier";"Vedlikeholdsansvarlig";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"929790737";"45";"1";"2019-05-31";"2019-10-09T12:53:02";"AutoPASS + automatisk";"Fjellinjen AS";"Avkjøring fra Sinsenkrysset";;"www.fjellinjen.no";"Med metrering";"215";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (264482.08060692315 6652100.074037866 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp83 m12077";"3";"0";"R";"V";"150";"83";"83";"12077";;"625426 0.15496215 0.15496215 WITH N/A ";"POINT Z (264481.49499 6652099.78468 107.33872)";"6173"
"929790738";"45";"1";"2019-05-31";"2019-10-20T12:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"E18 Fiskevollbukta";;"www.fjellinjen.no";"Med metrering";"401";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230307";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (263488.71289882273 6640676.810487044 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE2A 2010-2019,RUTE2A 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp2 m7762";"3";"0";"E";"V";"18";"2";"2";"7762";;"625292 0.1108572 0.1108572 WITH N/A ";"POINT Z (263483.70901 6640677.42196 24.7455)";"6173"
"929790739";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Økernveien";;"www.fjellinjen.no";"Begge retninger";"222";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (264143.66131073446 6649704.68057889 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv18587 hp1 m327";"3";"301";"K";"V";"18587";"1";"1";"327";;"605841 0.1700711 0.1700711 WITH N/A ";"POINT Z (264143.46728 6649704.67559 59.9145)";"6173"
"929790740";"45";"1";"2019-05-31";"2019-09-20T14:22:32";"AutoPASS + automatisk";"Fjellinjen AS";"Suhms Gate";;"www.fjellinjen.no";"Begge retninger";"202";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (260629.3261617896 6651955.710463001 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv17171 hp1 m959";"3";"301";"K";"V";"17171";"1";"1";"959";;"605509 0.96279127 0.96279127 WITH N/A ";"POINT Z (260629.58486 6651955.96054 64.29644)";"6173"
"929790741";"45";"1";"2019-05-31";"2019-09-20T13:51:27";"AutoPASS + automatisk";"Fjellinjen AS";"Rv 163 Veitvet";;"www.fjellinjen.no";"Med metrering";"639";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (268105.804646614 6651962.49043404 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv163 hp1 m3467";"3";"0";"R";"V";"163";"1";"1";"3467";;"625530 0.35142056 0.35142056 WITH 1#3 ";"POINT Z (268104.70448 6651967.27546 115.22068)";"6173"
"929790742";"45";"1";"2019-05-31";"2019-09-20T13:51:27";"AutoPASS + automatisk";"Fjellinjen AS";"Rv163 Stovner";;"www.fjellinjen.no";"Mot metrering";"301";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230307";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (273428.033058052 6652735.44738817 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv163 hp1 m9454";"3";"0";"R";"V";"163";"1";"1";"9454";;"625530 0.96415401 0.96415401 WITH 2#4 ";"POINT Z (273426.93441 6652731.30186 174.7475)";"6173"
"929790743";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Sandstuveien";;"www.fjellinjen.no";"Begge retninger";"46";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (265382.50398707757 6646313.157633293 141.62057368338108)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv16175 hp1 m1613";"3";"301";"K";"V";"16175";"1";"1";"1613";;"605247 0.75807764 0.75807764 WITH N/A ";"POINT Z (265382.82194 6646312.60504 141.46364)";"6173"
"929790744";"45";"1";"2019-05-31";"2019-10-09T12:53:02";"AutoPASS + automatisk";"Fjellinjen AS";"Sørkedalsveien";;"www.fjellinjen.no";"Med metrering";"635";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (260283.713491873 6651544.9440167 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv168 hp1 m2313";"3";"301";"K";"V";"168";"1";"1";"2313";;"625580 0.92529355 0.92529355 WITH 1#3 ";"POINT Z (260282.14877 6651541.05805 48.97525)";"6173"
"929790745";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Hasleveien";;"www.fjellinjen.no";"Begge retninger";"220";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (264068.502957392 6650820.893746801 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv12727 hp1 m32";"3";"301";"K";"V";"12727";"1";"1";"32";;"2039168 0.5791261 0.5791261 WITH N/A ";"POINT Z (264068.92281 6650821.82798 53.67817)";"6173"
"929790746";"45";"1";"2019-05-31";"2019-10-20T12:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"E 18 Mosseveien";;"www.fjellinjen.no";"Begge retninger";"49";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (263243.3733785263 6646270.258024685 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE2A 2010-2019,RUTE2A 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp2 m1754";"3";"0";"E";"V";"18";"2";"2";"1754";;"625292 0.72102514 0.72102514 WITH N/A ";"POINT Z (263243.91301 6646270.42742 16.7295)";"6173"
"929790747";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Starveien";;"www.fjellinjen.no";"Med metrering";"303";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230307";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (272934.4187901628 6651849.463520845 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv16949 hp1 m576";"3";"301";"K";"V";"16949";"1";"1";"576";;"605435 0.80174916 0.80174916 WITH 1 ";"POINT Z (272933.97763 6651849.38881 169.42271)";"6173"
"929790748";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Tvetenveien";;"www.fjellinjen.no";"Begge retninger";"43";"23";"25";"86";"Ja";"31";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (268797.6087637431 6650451.38585273 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv17852 hp7 m200";"3";"301";"K";"V";"17852";"7";"7";"200";;"605672 0.40517018 0.40517018 WITH N/A ";"POINT Z (268797.90987 6650451.00454 143.40672)";"6173"
"929790749";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Tåsenveien";;"www.fjellinjen.no";"Begge retninger";"205";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (262431.3903103443 6652373.752967492 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv17894 hp1 m525";"3";"301";"K";"V";"17894";"1";"1";"525";;"605692 0.56020903 0.56020903 WITH N/A ";"POINT Z (262432.16802 6652373.57327 77.3955)";"6173"
"929790750";"45";"1";"2019-05-31";"2019-09-05T22:21:39";"AutoPASS + automatisk";"Fjellinjen AS";"Ring 3 Sinsenkrysset";;"www.fjellinjen.no";"Med metrering";"214";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (264388.81479551335 6652305.457260662 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp82 m32100";"3";"0";"R";"V";"150";"82";"82";"32100";;"625643 0.60386424 0.60386424 WITH N/A ";"POINT Z (264389.68071 6652305.60681 112.28463)";"6173"
"929790751";"45";"1";"2019-05-31";"2019-11-01T14:31:31";"AutoPASS + automatisk";"Fjellinjen AS";"På og avkjøring E6 Lodalen";;"www.fjellinjen.no";"Med metrering";"229";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (264286.7019612106 6648169.515402009 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp75 m21452";"3";"0";"E";"V";"6";"75";"75";"21452";;"625602 0.29931006 0.29931006 WITH N/A ";"POINT Z (264286.70064 6648169.51592 19.1)";"6173"
"929790752";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Ring 3 Teisen";;"www.fjellinjen.no";"Begge retninger";"233";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (265946.634966429 6649540.473221773 0)";"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m12176";"3";"0";"E";"V";"6";"1";"1";"12176";;"625213 0.51717761 0.51717761 WITH N/A ";"POINT Z (265946.88919 6649540.64463 93.25093)";"6173"
"929790753";"45";"1";"2019-05-31";"2019-06-12T09:29:02";"AutoPASS + automatisk";"Fjellinjen AS";"Avkjøring E6 til strømsveien";;"www.fjellinjen.no";"Med metrering";"235";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (266495.06770321936 6649883.440053624 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv17126 hp3 m80";"3";"301";"K";"V";"17126";"3";"3";"80";;"605492 0.11913336 0.11913336 WITH N/A ";"POINT Z (266495.05599 6649883.25485 92.27701)";"6173"
"929790754";"45";"1";"2019-05-31";"2019-09-20T14:22:32";"AutoPASS + automatisk";"Fjellinjen AS";"Blindernveien";;"www.fjellinjen.no";"Begge retninger";"203";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (261166.51408438757 6652049.885782142 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv10736 hp1 m339";"3";"301";"K";"V";"10736";"1";"1";"339";;"603696 0.36411237 0.36411237 WITH N/A ";"POINT Z (261168.11149 6652051.30666 68.36676)";"6173"
"929790755";"45";"1";"2019-05-31";"2019-09-05T22:21:39";"AutoPASS + automatisk";"Fjellinjen AS";"Fagerheimgata Nord";;"www.fjellinjen.no";"Med metrering";"213";"23";"19";"86";"Ja";"23";"101";"06:30";"08:59";"15:00";"16:59";"Standard timesregel";"60";"230301";;"2019";;"109416";"Stat, Statens vegvesen";"Kommune";"POINT (263664.2270842688 6651209.583976116 0)";"Oslo";"Oslo";"ØST";"Oslo";"";"";"0301 Kv4 hp50 m570";"3";"301";"K";"V";"4";"50";"50";"570";;"625369 0.83449556 0.83449556 WITH N/A ";"POINT Z (263667.16724 6651206.69656 53.33143)";"6173"
